FoodCategory,FoodItem,per100grams,Cals_per100grams,KJ_per100grams
Candy&Sweets,3 Musketeers,100g,400 cal,1680 kJ
Candy&Sweets,After Eight,100g,452 cal,1898 kJ
Candy&Sweets,Airheads,100g,375 cal,1575 kJ
Candy&Sweets,Almond Roca,100g,571 cal,2398 kJ
Candy&Sweets,Angel Delight,100g,451 cal,1894 kJ
Candy&Sweets,Animal Crackers,100g,446 cal,1873 kJ
Candy&Sweets,Baby Ruth,100g,469 cal,1970 kJ
Candy&Sweets,Butterfinger,100g,450 cal,1890 kJ
Candy&Sweets,Buttermilk Pancakes,100g,238 cal,1000 kJ
Candy&Sweets,Candy Apple,100g,152 cal,638 kJ
Candy&Sweets,Candy Cane,100g,423 cal,1777 kJ
Candy&Sweets,Candy canes,100g,423 cal,1777 kJ
Candy&Sweets,Candy Corn,100g,360 cal,1512 kJ
Candy&Sweets,Candy Floss,100g,400 cal,1680 kJ
Candy&Sweets,Caramel Popcorn,100g,376 cal,1579 kJ
Candy&Sweets,Caramel squares,100g,367 cal,1541 kJ
Candy&Sweets,Celebrations,100g,490 cal,2058 kJ
Candy&Sweets,Cheez-It’s,100g,533 cal,2239 kJ
Candy&Sweets,Chocolate,100g,529 cal,2222 kJ
Candy&Sweets,Chocolate Bar,100g,533 cal,2239 kJ
Candy&Sweets,Chocolate Chips,100g,493 cal,2071 kJ
Candy&Sweets,Cookies,100g,488 cal,2050 kJ
Candy&Sweets,Cotton Candy,100g,643 cal,2701 kJ
Candy&Sweets,Eggy Bread,100g,196 cal,823 kJ
Candy&Sweets,Fairy Cakes,100g,440 cal,1848 kJ
Candy&Sweets,Ferrero Rocher,100g,576 cal,2419 kJ
Candy&Sweets,Flapjack,100g,486 cal,2041 kJ
Candy&Sweets,Fortune Cookies,100g,214 cal,899 kJ
Candy&Sweets,Granola Bars,100g,452 cal,1898 kJ
Candy&Sweets,Gumdrops,100g,321 cal,1348 kJ
Candy&Sweets,Gummi Bears,100g,316 cal,1327 kJ
Candy&Sweets,Hanuta,100g,541 cal,2272 kJ
Candy&Sweets,Hershey Kisses,100g,471 cal,1978 kJ
Candy&Sweets,Jelly Beans,100g,354 cal,1487 kJ
Candy&Sweets,Jelly Belly,100g,354 cal,1487 kJ
Candy&Sweets,Jolly Ranchers,100g,385 cal,1617 kJ
Candy&Sweets,Jordan Almonds,100g,429 cal,1802 kJ
Candy&Sweets,Kit Kat,100g,521 cal,2188 kJ
Candy&Sweets,Laffy Taffy,100g,372 cal,1562 kJ
Candy&Sweets,Licorice,100g,375 cal,1575 kJ
Candy&Sweets,LifeSavers,100g,500 cal,2100 kJ
Candy&Sweets,Lindt Chocolate,100g,548 cal,2302 kJ
Candy&Sweets,Liquorice,100g,375 cal,1575 kJ
Candy&Sweets,Lollipop,100g,392 cal,1646 kJ
Candy&Sweets,M&M’s,100g,479 cal,2012 kJ
Candy&Sweets,Maltesers,100g,498 cal,2092 kJ
Candy&Sweets,Mars Bar,100g,448 cal,1882 kJ
Candy&Sweets,Marshmallows,100g,318 cal,1336 kJ
Candy&Sweets,Marzipan,100g,411 cal,1726 kJ
Candy&Sweets,Mike and Ike,100g,360 cal,1512 kJ
Candy&Sweets,Milk Duds,100g,422 cal,1772 kJ
Candy&Sweets,Milky Way,100g,449 cal,1886 kJ
Candy&Sweets,PayDay,100g,462 cal,1940 kJ
Candy&Sweets,Peanut Bar,100g,533 cal,2239 kJ
Candy&Sweets,Peanut Brittle,100g,183 cal,769 kJ
Candy&Sweets,Peanut Butter Bars,100g,379 cal,1592 kJ
Candy&Sweets,Peanut Butter Cookies,100g,475 cal,1995 kJ
Candy&Sweets,Peppermint bark,100g,500 cal,2100 kJ
Candy&Sweets,Pez,100g,427 cal,1793 kJ
Candy&Sweets,Pop Rocks,100g,358 cal,1504 kJ
Candy&Sweets,Popcorn,100g,582 cal,2444 kJ
Candy&Sweets,Pumpkin Seeds,100g,560 cal,2352 kJ
Candy&Sweets,Reeses Peanut Butter Cups,100g,536 cal,2251 kJ
Candy&Sweets,Rice Pudding,100g,134 cal,563 kJ
Candy&Sweets,Roasted Almonds,100g,452 cal,1898 kJ
Candy&Sweets,Rolo,100g,474 cal,1991 kJ
Candy&Sweets,S’mores,100g,500 cal,2100 kJ
Candy&Sweets,Semolina,100g,340 cal,1428 kJ
Candy&Sweets,Skittles,100g,405 cal,1701 kJ
Candy&Sweets,Smarties,100g,357 cal,1499 kJ
Candy&Sweets,Smores,100g,500 cal,2100 kJ
Candy&Sweets,Snickers,100g,484 cal,2033 kJ
Candy&Sweets,Sour Patch Kids,100g,363 cal,1525 kJ
Candy&Sweets,Speculoos,100g,469 cal,1970 kJ
Candy&Sweets,Spritz Cookies,100g,500 cal,2100 kJ
Candy&Sweets,Take 5,100g,476 cal,1999 kJ
Candy&Sweets,Toblerone,100g,525 cal,2205 kJ
Candy&Sweets,Trifle,100g,186 cal,781 kJ
Candy&Sweets,Twix,100g,495 cal,2079 kJ
Candy&Sweets,Waffles,100g,272 cal,1142 kJ
Candy&Sweets,Whoopie Pie,100g,400 cal,1680 kJ

